A,B,C,D,E,F
17,108.01,21,344.15,-78.6386,-55.0633
30,172.98,31,514.33,-16.0591,-17.8355
8,63.24,34,565.46,-5.35305,-5.94515
13,88.28,10,157.52,5.47234,15.0351
2,33.16,26,429.36,9.72522,10.0708
13,88.2,37,616.43,-7.42391,-17.4896
28,163.4,15,242.16,0,0
15,97.97,18,293.26,-20.7431,-23.0375
25,148.31,6,89.52,-33.8583,-17.2516
2,33.41,2,21.05,-40.9558,-38.1919
29,168.46,23,378.43,-8.60085,-22.4059
20,123.41,8,123.33,14.5009,6.76189
39,218.48,32,531.55,63.0409,49.2529
33,188.34,7,106.36,84.0462,37.4197
1,28.11,14,225.12,71.4785,19.1526
15,98.32,11,174.55,-5.08829,-3.17951
15,98.43,24,395,-60.8112,-60.8111
35,198.11,31,514.04,1.49843,3.70873
32,183.34,1,4.56,65.8179,38
21,128.26,12,191.52,-57.9918,-24.616
37,208.29,6,89.45,-28.1053,-40.1384
8,63.03,6,89.09,49.3501,35.8549
4,43.25,27,446.44,60.2192,29.3708
30,173.36,28,463.2,43.6329,78.7157
1,28.28,37,616.22,-17.0972,-13.845
23,138.12,39,650.26,44.7236,33.7016
1,28.01,20,326.97,83.693,27.1935
21,128.09,1,3.97,-37.7407,-16.02
11,78.38,39,650.48,-25.2748,-34.7877
19,118.15,1,4.53,24.0453,35.6486
3,38.15,27,445.99,20,34.641
4,42.98,11,174.21,-76.6534,-19.1118
37,208.51,23,378.47,75.0718,56.5706
30,173.54,35,582.06,7.65044,2.33897
10,73.16,22,361.28,-40.7961,-16.4827
35,198.56,36,599.51,30.3767,12.8941
29,168.34,29,480.17,6.88896,11.0246
39,218.39,37,615.99,-15.803,-2.50295
16,103.31,21,344,38.3133,19.5216
16,103.1,33,548.47,-57.5534,-25.6244
28,163.09,20,327.13,24.7241,61.1941
24,143.04,2,21.02,5.20202,4.68391
8,63.55,1,4.35,-17.9981,-21.4492
22,132.97,39,650.32,-13.2115,-10.6984
29,168.48,0,-13,-95.089,-23.7083
24,142.99,13,208.02,-25.2177,-56.6398
30,172.99,38,633.02,-15.4926,-29.1373
4,43.25,27,446.43,-53.2312,-51.4047
3,38.45,11,174.12,-61.4587,-21.1619
1,28.14,26,429.38,-19.3185,-5.17638
22,133.13,2,21.12,-83.1985,-25.4363
6,53.01,6,89.53,0.939693,0.34202
13,88.02,13,208.17,-35.9009,-8.9511
11,78.24,39,649.99,-44.9948,-9.56393
29,168.52,4,55.24,-26.267,-43.7155
27,158.48,20,326.98,29.5781,36.5258
5,48.02,30,497.48,15.7335,38.9417
36,203.04,20,326.99,-14.3348,-37.3432
1,28.28,23,378.3,34.301,105.567
20,123.12,12,191.21,21.8795,2.29962
20,123.18,5,72.09,11.1809,8.4254
18,113.36,9,140.37,28.4716,63.9482
3,38.35,19,310.01,43.1604,41.6795
20,123.31,22,361,-71.129,-16.4214
0,23.24,23,378.21,0.927054,2.85317
18,113.2,38,633.2,36.0833,41.509
7,58.31,23,378.13,62.0197,22.5733
0,23.27,24,396.16,54.1216,66.8345
10,74.43,10,157.29,-3.3992,-10.4616
13,87.98,36,599.05,-6.33968,-22.109
6,53.04,22,361.33,51.6219,73.7236
21,128.06,16,259.13,-61.5379,-7.55589
22,133.55,32,531.03,16.6337,23.7554
22,133.16,16,259.02,-14.4168,-9.00862
22,133.53,10,157.08,16.6652,54.5094
30,173.32,15,242.22,-34.9573,-68.6075
7,58.41,19,310.2,24.882,46.7962
5,48.12,15,242.27,47.8923,55.0938
0,23.24,35,582.26,64.7132,31.5627
26,153.24,39,650.34,-18.8577,-11.3308
37,208.37,31,514.09,-2.95442,-0.520944
2,33.01,11,174.31,-8.52877,-9.81122
31,178.02,11,174.36,14.8153,2.34652
15,98.04,12,191.08,34.4034,89.6237
2,33.32,11,174.5,-38.8328,-28.2137
30,173.26,22,361.5,9.09607,31.7216
20,123.45,24,395.01,1.7659,0.938942
20,123.22,28,463.49,55.4256,32
16,103.17,35,582.37,31.0924,76.9562
5,48.54,38,633.25,-3.90732,-9.20504
10,72.97,3,38.29,7.1666,24.9928
23,138.23,17,276.56,-62.5193,-64.7405
23,138.48,36,599.2,33.287,10.8156
11,78,5,72.35,-43.5832,-85.5366
21,127.98,5,72.37,24.5934,15.3676
14,93.28,8,123.35,-60.6827,-23.2939
27,158.36,32,531.33,-71.0141,-41
27,158.1,18,293.12,-20.3078,-10.7978
0,22.97,16,259.22,-21.2504,-5.69402
33,188.56,13,208.27,-54.3728,-42.4806
38,213.23,26,429.55,80.3296,24.5592
4,43.48,1,4.05,95.1649,27.2881
23,138.55,5,72.18,4.78152,1.46186
26,153.43,34,565.2,-61.4795,-31.3253
15,98.42,11,174.46,-46.7962,-24.882
4,43.22,1,4.27,21.6129,7.86646
4,43.36,28,463.54,-44.3277,-56.7367
9,68.08,37,616.31,-14.8882,-1.82804
8,63.08,8,123.19,4.24264,4.24264
34,192.99,17,276.14,-19.0564,-31.7152
32,183.56,22,361.3,24.5934,15.3676
18,113.51,17,276.55,14.5536,27.3714
17,108.49,8,123.31,-1,-1.73205
37,208.43,29,480.54,0,0
37,208.43,9,140.03,8.71424,13.4187
23,138.05,11,174.22,39.9444,12.9787
14,93.29,19,310.08,16.8015,39.5817
20,123.37,35,581.98,-12.8735,-1.80925
26,153.01,32,531.52,7.52575,19.6052
31,178.08,11,174.37,24.5318,85.5523
25,148.09,27,446.33,20.1451,20.8608
9,68.21,34,564.97,49.7907,44.8317
3,38.25,9,140.35,-9.42884,-5.66541
3,38.44,12,191.12,-90.5573,-34.7617
0,23.23,37,616,71.7994,30.477
2,33,31,514.18,52.7691,75.362
23,138.5,16,259.26,-3.09023,-5.143
18,113.14,4,55.16,44.8318,49.7907
36,203.47,32,531.05,-34.7106,-41.3664
6,53.15,13,208.4,-9.67596,-25.2067
22,133.44,19,310.42,19.4504,20.1415
37,208.4,37,616.11,42.2955,12.128
38,213.31,20,327.11,-37.7,-77.2963
7,58.07,29,480.16,-46.3592,-18.7303
27,158.54,25,412.29,-47.8173,-4.18347
16,103.03,37,616.53,2.19406,2.04599
39,217.98,13,208.53,-63.3341,-14.6218
39,218.42,32,531.28,-0.97437,-0.224951
30,173.15,0,-12.63,-73.6206,-53.4884
7,58.05,20,327.42,53.1408,61.1314
27,158.46,3,38.02,-62.6409,-54.4529
15,98.26,7,106.45,61.4587,21.1619
18,113.54,19,310.4,62.5943,26.5697
1,28.36,8,122.99,65.3559,27.7419
5,48.07,6,89.14,86.7868,38.6399
1,28.12,1,4.13,38.0304,35.4639
23,138.44,27,446.39,5.36231,4.49951
17,108.23,22,361.05,-10.9581,-0.958712
27,158.27,21,344.24,-84.1548,-25.7287
5,48.14,3,38.09,85.1929,39.7261
23,138.45,5,72.41,3.39219,2.11968
35,198.56,36,599.39,-43.4939,-14.9761
39,218.08,22,361.38,32.1323,72.1701
4,43.55,33,548.54,42.3432,17.9736
2,33,7,106.22,-28.8625,-15.9987
27,158.08,22,361.42,84.7702,19.5707
14,93.39,30,497.28,8.95922,23.3395
27,158.01,27,446.06,-26.6967,-77.5325
32,183.31,37,616.42,-64.8388,-23.5994
15,98.3,38,633.4,-68.2059,-15.7466
17,108.15,29,480.36,14.7244,2.86213
29,168.06,39,650.56,34.9063,62.9726
15,98.28,32,531.19,49.7279,15.2033
1,28.41,16,259.15,6.4322,21.0387
5,48.54,1,4.4,-98.7688,-15.6434
13,88.54,2,21.19,-43.11,-29.078
11,78.07,30,497.19,-37.0861,-91.7912
30,173.34,26,429.39,8.54479,29.7991
25,148.09,3,38.38,29.3444,6.23735
1,28.44,15,242.32,-54.7939,-70.1329
19,118.13,17,276.5,-40.3771,-7.11957
2,32.99,7,106.09,-40.196,-17.8964
27,158.43,18,293.51,0,0
33,188.34,2,21.45,-65.2408,-22.4642
18,113.29,12,191.5,46.286,8.16146
32,183.35,31,514.46,-48.6348,-5.97159
27,158.3,16,259.31,78.2663,58.9778
35,198.22,38,633.5,-17.0458,-23.4615
35,198.33,8,123.34,-21.0115,-9.35494
33,188.32,32,531.02,11.1839,16.5807
12,83.09,10,157.21,-94.2037,-27.0124
38,213.06,27,446.52,34.4683,6.07768
7,58.28,10,157.35,19.607,30.1921
9,68.48,18,293.14,-6.18036,-19.0211
17,108.11,22,361.18,-19.778,-21.2092
12,83.33,15,242.39,-7.71788,-26.9153
36,203.27,38,633,-93.5567,-16.4966
8,63.42,16,259.27,10.037,11.1472
4,43.21,36,599.12,60.1948,54.1995
22,133.07,23,378.42,-65.2408,-22.4642
27,158.33,2,21.31,-32.803,-37.7355
3,38.43,25,412.3,-26.598,-28.5228
39,218.46,19,310.12,-44.612,-51.3202
0,23.13,18,293.34,-3.51659,-8.28454
26,153.03,22,361.26,-28.4672,-5.53346
15,98.47,2,21.15,-37.5099,-40.2244
12,83.17,19,310.54,-25.9011,-2.26605
12,83.3,22,361.08,-13.1212,-15.0942
6,53.3,2,21.53,88.3465,17.1728
8,63.33,32,531.2,-1.58976,-2.54414
