A,B,C,D
1,20,4.02,408.22
2,30,11.34,588.37
3,34,18.04,660.03
4,34,25.26,660.31
5,17,32.11,354.03
6,25,39.26,498.21
7,36,46.16,696.19
8,12,53.25,264.3
9,2,60.18,83.99
10,8,67.25,192.19
11,15,74.05,318.23
12,31,81.28,606.11
13,30,88.14,588.18
14,28,95.08,552.06
15,13,102.17,282.11
16,19,109.02,389.99
17,34,115.99,660.18
18,8,123.11,192.37
19,0,130.05,48.09
20,33,137.13,642.37
21,6,144.21,156.36
22,23,152,462.12
23,28,158.35,552.35
24,4,165.07,120.15
25,6,172.07,156.28
26,26,179.21,516.07
27,30,186.22,588.34
28,23,193.02,462.02
29,28,200.33,552.02
30,35,207.05,678.27
31,11,214.04,246.34
32,26,221.02,516.17
33,32,228.23,624.06
34,21,235.19,426.15
35,38,242.26,732.25
36,29,249.04,570
37,30,256.26,588.24
38,26,263.1,516.21
39,22,269.98,444.16
40,18,277.34,372.15
41,8,284.37,192.21
42,36,291.23,696.18
43,15,298.15,318.35
44,16,305.29,336.16
45,33,312.27,642.04
46,12,319.08,264.02
47,14,325.99,300.31
48,33,333.17,642.03
49,8,340,192.35
50,26,347.18,516.31
51,4,354.18,120.22
52,19,361.14,389.99
53,31,368.22,606.09
54,28,374.98,552
55,7,382.23,174.29
56,5,389.36,138
57,10,396.02,228.33
58,3,403.27,102.04
59,0,410.35,48.06
60,37,417.14,714.19
61,23,424.18,461.99
62,39,431.29,750.08
63,1,438.21,66.32
64,12,445.01,264.32
65,6,452.08,156.17
66,37,459.06,714.07
67,31,466.16,606.04
68,26,473.11,516.33
69,25,480.03,498.31
70,33,487.32,642.07
71,6,494.15,156.19
72,0,501.07,48.02
73,10,508.08,228.17
74,36,515.12,696.21
75,30,522.18,588.23
76,1,529.07,66.31
77,3,535.99,102.01
78,9,543.17,210.06
79,36,550.02,696.11
80,29,557.28,570.06
81,30,564.26,588.15
82,3,571.26,102.24
83,8,578.28,192.26
84,27,585.24,534
85,10,592.06,228.12
86,28,599,552.22
87,21,606.03,426.15
88,17,613.04,354.26
89,25,620,498.23
90,31,627.22,606.13
91,31,634.04,606.01
92,8,641.08,192.22
93,27,648.16,534.04
94,7,655.35,174.31
95,2,661.98,84.31
96,16,669.26,336.33
97,32,675.99,624.3
98,1,683.08,66.36
99,30,690.34,588.31
100,15,697.17,318.07
