A,B,C,D
1,15,4.04,318.29
2,21,11.09,426.35
3,39,18.25,750.2
4,9,25.17,210.19
5,21,32.01,426.27
6,39,39.28,750.31
7,4,46.06,120.22
8,1,53.11,66.18
9,31,60.08,606.35
10,39,67.28,750.24
11,29,74.03,570.3
12,21,81.25,426.01
13,18,88.24,372.28
14,32,95.33,623.99
15,13,102.07,282.34
16,35,109.06,678.17
17,28,116.1,552.25
18,12,123.11,264.31
19,24,130.35,480.33
20,13,137.34,282.23
21,39,144.24,750.29
22,31,151.05,606.16
23,27,158.15,534.34
24,9,165.07,210.3
25,11,172.13,245.99
26,39,179.08,749.99
27,18,186.28,372.11
28,38,193.33,732.16
29,31,200.17,606.13
30,18,207.31,372.1
31,4,214.22,120.28
32,27,221.14,534.35
33,37,228.33,714.12
34,33,235.02,642.13
35,17,242.05,354.28
36,10,249.05,228.3
37,11,256.23,246.21
38,16,263.13,336.16
39,35,270.04,678.27
40,2,277.15,84.12
41,6,284.19,156.37
42,36,290.98,696.05
43,25,298.35,498
44,31,305.28,606.04
45,39,311.98,750.04
46,29,319.08,570.11
47,22,326.12,444.28
48,37,333.28,714.04
49,15,340.15,318.02
50,36,347.1,696.19
51,11,354.16,246.32
52,10,361.05,228.32
53,17,368.3,354.29
54,19,375.14,390.12
55,17,382.13,354.04
56,15,389.34,318.14
57,20,396.08,408.2
58,11,403.05,246.11
59,9,410.12,210.2
60,5,417.09,138.32
61,19,424.2,390.03
62,13,431.3,282.1
63,0,437.99,48.34
64,31,445.1,606.02
65,37,452.19,714.17
66,3,459.35,102.06
67,12,466.15,264.16
68,34,473.18,660.24
69,39,480.19,749.98
70,22,487.25,444.09
71,8,494.04,192.23
72,13,501.09,282.15
73,17,508.09,354.08
74,6,515.33,156.2
75,10,522.3,228.34
76,22,529.26,444.31
77,22,535.98,444
78,0,543.24,48.13
79,18,550.24,372.34
80,19,556.98,390.21
81,22,564.06,444.19
82,8,571.12,192.31
83,17,578.21,354.02
84,28,585.27,552.29
85,2,592.3,84.22
86,30,599.04,588.1
87,23,606.26,462.02
88,18,613.18,372.28
89,33,620.37,642.06
90,29,627.08,570.06
91,5,634.3,138.15
92,18,641.3,372.21
93,3,648.08,102.04
94,0,655.28,48.26
95,31,662.22,606.18
96,15,669.13,318.16
97,19,676.28,390.36
98,15,683.06,318.16
99,38,690.31,732.07
100,6,697.13,156.17
